;index;CODGEO;LIBGEO;ZE2020;LIBZE2020;latitude;longitude
80;6303;9003;Albignac, France;57;Brive-la-Gaillarde;45.1389615;1.6790721
81;6493;9198;Saint-Éloy-les-Tuileries, France;57;Limoges;45.4473087;1.2928106
82;6581;1001;Agencourt, France;2603;Beaune;47.12773;4.98024
83;6582;1002;Agey, France;2603;Dijon;47.2843513;4.7631692
84;6584;1004;Aignay-le-Duc, France;2603;Châtillon-Montbard;47.6655703;4.7327154
85;6625;1046;Bard-le-Régulier, France;2603;Autun;47.1446907;4.3152704
86;6652;1074;Billey, France;2603;Dole;47.14435;5.43099
87;6721;1143;Channay, France;2602;Auxerre;47.8824903;4.3324425
88;7279;2001;Allineuc, France;5305;Saint-Brieuc;48.310924;-2.872466
89;7280;2002;Andel, France;5305;Lamballe-Armor;48.490956;-2.5670513
90;7281;2003;Aucaleuc, France;5301;Dinan;48.455935;-2.130071
91;7282;2004;Bégard, France;5302;Guingamp;48.6298618;-3.3007868
92;7284;2006;Berhet, France;5303;Lannion;48.6962802;-3.3036624
93;7297;2023;Bulat-Pestivien, France;5302;Carhaix-Plouguer;48.428911;-3.330215
94;7301;2027;Le Cambout, France;5304;Pontivy-Loudéac;48.0588865;-2.6116643
95;7361;2094;Lancieux, France;5301;Saint-Malo;48.6072372;-2.1502639
96;7470;2217;Plougras, France;5308;Morlaix;48.5110359;-3.5633514
97;7627;3001;Ahun, France;7403;Guéret;46.0867617;2.0422672
98;7886;4005;Alles-sur-Dordogne, France;7203;Sarlat-La-Canéda;44.8586985;0.8664854
99;7901;4022;Badefols-sur-Dordogne, France;7201;Bergerac;44.84278;0.79016
100;7920;4043;Biron, France;5406;Villeneuve-sur-Lot;43.4654213;-0.7457262
101;8388;5001;Abbans-Dessous, France;4301;Besançon;47.1343544;5.8750503
102;8390;5003;Abbenans, France;4302;Vesoul;47.4997751;6.4512058
103;8391;5004;Abbévillers, France;4302;Montbéliard;47.4314084;6.9185771
104;8398;5012;Les Alliés, France;4304;Pontarlier;46.9482582;6.4463934
105;8495;5121;Chapelle-des-Bois, France;4307;Saint-Claude;46.5982675;6.1148105
106;8869;5533;Saraz, France;4301;Lons-le-Saunier;46.9966;5.98274
107;8972;6012;Arnayon, France;8208;Valréas;44.4964717;5.308179300921379
108;8974;6014;Arthémonay, France;8207;Romans sur Isère;45.1430541;5.0547001
109;9325;7001;Aclou, France;2301;Bernay;49.16975;0.70441
110;9326;7002;Acon, France;2302;Dreux;48.7725179;1.0902407
111;9327;7003;Acquigny, France;2307;Evreux;49.17231;1.178352
112;9329;7005;Ailly, France;2304;Vernon-Gisors;49.1609126;1.2458695
113;9331;7008;Alizay, France;2307;Rouen;49.3191616;1.1673742
114;9332;7009;Ambenay, France;2302;L'Aigle;48.8358372;0.728881
115;9912;8004;Allonnes, France;2404;Chartres;48.3304943;1.6561556
116;9913;8005;Alluyes, France;2404;Châteaudun;48.2288062;1.3636095
117;9918;8010;Argenvilliers, France;54;Nogent-le-Rotrou;48.2615364;0.95597
118;9925;8019;Baigneaux, France;2418;Orléans;44.724516550000004;-0.1985646393675837
119;10275;9001;Argol, France;5306;Brest;48.2461346;-4.3173536
120;10276;9002;Arzano, France;5315;Quimperlé;47.9012363;-3.4404425
121;10277;9003;Audierne, France;5309;Quimper;48.02308095;-4.545659011908988
122;10552;A001;Afa, France;9401;Ajaccio;41.9838088;8.7966629
123;10556;A011;Altagène, France;9403;Propriano;41.7064948;9.0704091
124;10572;A041;Bonifacio, France;9402;Porto-Vecchio;41.3878259;9.1606179
125;10676;B002;Aghione, France;9407;Ghisonaccia;42.1114192;9.4005486
126;10677;B003;Aiti, France;9404;Corte;42.3985048;9.2434795
127;10681;B010;Algajola, France;9405;Calvi;42.6074484;8.861965
128;10689;B029;Barbaggio, France;9404;Bastia;42.68974;9.37738
129;10912;1;Aigaliers, France;9106;Nîmes;44.0591372;4.3211745
130;10914;3;Aigues-Mortes, France;9111;Montpellier;43.5658225;4.1912837
131;10916;5;Aiguèze, France;9105;Bagnols-sur-Cèze;44.3034245;4.5553208
132;10918;7;Alès, France;9104;Alès-Le Vigan;44.1253665;4.0852818
133;11270;1008;Anan, France;61;Auch;43.3549;0.817728
134;11334;1073;Bondigoux, France;61;Montauban;43.8404886;1.5397514
135;11841;1586;Villeneuve-Lécussan, France;7310;Tarbes-Lourdes;43.1494716;0.4997531
136;11929;2084;Castéron, France;7307;Castelsarrasin-Moissac;43.8927778;0.8616667
137;12311;3002;Aillas, France;7204;Langon;44.47351;-0.0747
138;12318;3009;Arcachon, France;7207;La Teste-de-Buch;44.6616428;-1.1700018
139;12319;3010;Arcins, France;7204;Lesparre-Médoc;45.07261;-0.72578
140;12454;3150;Dieulivol, France;7204;Marmande;44.681658;0.09684855674314721
141;12845;4001;Abeilhan, France;9108;Béziers;43.4513;3.29284
142;12846;4002;Adissan, France;9107;Agde-Pézenas;43.5355;3.42756
143;12867;4023;Balaruc-les-Bains, France;9112;Sète;43.4444987;3.679545
144;13187;5001;Acigné, France;5312;Rennes;48.1334094;-1.5338474
145;13190;5004;Val-Couesnon, France;5310;Fougères;48.44089055;-1.4566868194322078
146;13191;5005;Arbrissel, France;5312;Vitré;47.9271875;-1.3038405
147;13198;5013;Bains-sur-Oust, France;5311;Redon;47.7043242;-2.0720346
148;13228;5046;Les Brulais, France;5312;Ploërmel;47.8888664;-2.0425928
149;13523;6004;Anjouin, France;2414;Romorantin-Lanthenay;47.1890873;1.8024553
150;13527;6008;Arpheuilles, France;2402;Loches;46.7797813;2.5631758
151;13762;7002;Ambillou, France;2412;Tours;47.4518959;0.4462125
152;13764;7004;Anché, France;2410;Chinon;46.3440433;0.2649576
153;14033;8001;Les Abrets en Dauphiné, France;8209;Bourgoin-Jallieu;45.52993845;5.603538537124297
154;14034;8002;Les Adrets, France;8210;Grenoble;45.2711;5.96427
155;14036;8004;L'Albenc, France;8210;Voiron;45.2239;5.44097
156;15039;1;Aire-sur-l'Adour, France;50;Mont-de-Marsan;43.7006462;-0.2647028
157;15040;2;Amou, France;7214;Dax;43.59266;-0.7475291
158;15042;4;Angresse, France;7208;Bayonne;43.65801;-1.37342
159;15051;15;Arx, France;7209;Agen;44.1072154;0.0753718
160;15063;27;Bassercles, France;7214;Pau;43.5522557;-0.6232137
